"user_id","num_sessions","age","gender","married","has_children","home_country","home_city","home_airport","num_trips","num_flights","avg_seats","flight_fare","num_nights","hotel_expenses","time_after_booking","perk_catagory"
"224996","8","43","F","false","true","canada","halifax","YHZ","2","4","1.00","0.00","0","0.00","8.00","3.family & friends"
"226367","8","43","F","false","false","usa","washington","IAD","3","6","1.33","106.57","5","1864.00","7.00","4.valued members"
"228195","9","27","F","false","true","usa","los angeles","LAX","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"228872","8","35","M","false","false","usa","san antonio","RND","2","2","1.00","0.00","13","1288.00","5.00","4.valued members"
"229009","8","17","F","false","false","usa","stockton","SCK","2","4","1.00","0.00","3","474.00","8.50","4.valued members"
"229108","8","26","F","false","false","usa","burlington","BTV","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"229330","8","47","F","true","false","usa","colorado springs","COS","4","8","1.75","0.00","6","3193.00","7.25","4.valued members"
"232647","8","18","F","false","false","usa","birmingham","BHM","2","2","1.00","0.00","11","2343.00","7.00","4.valued members"
"249521","8","59","F","true","true","canada","ottawa","YOW","2","2","1.00","0.00","3","369.40","8.00","3.family & friends"
"252835","8","38","F","false","true","usa","chicago","ORD","5","10","1.00","142.14","11","1460.00","7.40","1.golden guests"
"258451","8","23","F","false","false","usa","miami","OPF","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"264470","8","45","F","false","true","usa","bakersfield","BFL","2","4","1.00","718.25","9","2127.00","8.00","3.family & friends"
"276512","8","41","F","true","true","usa","austin","AUS","1","2","1.00","0.00","1","100.00","10.00","3.family & friends"
"281952","8","37","F","false","false","usa","louisville","LOU","2","4","1.00","0.00","2","236.30","7.00","4.valued members"
"283325","8","51","F","true","false","usa","dallas","DAL","2","2","1.00","407.94","6","2884.00","5.00","4.valued members"
"290123","9","41","F","true","false","usa","houston","HOU","7","13","1.57","0.00","13","3583.00","6.14","1.golden guests"
"297546","8","51","F","true","false","usa","new york","JFK","5","8","1.50","0.00","26","3542.00","5.00","4.valued members"
"298253","8","46","F","true","true","usa","los angeles","LAX","1","2","1.00","0.00","0","0.00","6.00","3.family & friends"
"299476","9","39","F","true","false","usa","atlanta","ATL","1","2","1.00","0.00","1","71.00","7.00","4.valued members"
"306165","8","21","F","false","false","usa","cleveland","CLE","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"306819","8","60","F","true","true","usa","new york","JFK","1","2","1.00","0.00","1","370.00","4.00","2.honorable seniors"
"312488","8","31","M","true","false","usa","new york","JFK","1","2","1.00","0.00","0","0.00","6.00","4.valued members"
"313724","8","52","F","false","false","usa","tulsa","TUL","4","6","1.33","0.00","14","3217.00","5.67","4.valued members"
"316527","8","41","F","true","true","canada","winnipeg","YWG","4","8","1.25","0.00","12","5658.30","7.25","3.family & friends"
"317688","8","41","F","false","true","usa","indianapolis","IND","4","8","1.00","0.00","5","1076.00","8.00","3.family & friends"
"322867","8","46","F","false","false","usa","mobile","BFM","1","2","1.00","0.00","7","1323.00","6.00","4.valued members"
"324191","8","40","F","false","false","usa","san diego","SAN","2","4","1.50","0.00","9","1610.00","9.50","4.valued members"
"328590","8","55","F","false","false","usa","san diego","NZY","2","4","2.00","0.00","9","2596.25","8.00","4.valued members"
"330764","8","39","F","false","false","usa","detroit","DET","2","0","0.00","0.00","9","1094.00","0.00","4.valued members"
"330893","8","43","F","true","true","usa","oklahoma city","OKC","3","6","1.00","0.00","6","750.00","5.33","3.family & friends"
"331039","8","44","F","true","true","canada","london","YXU","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"334787","8","53","F","false","false","usa","minneapolis","MSP","3","6","1.00","165.73","6","864.00","5.00","4.valued members"
"337227","8","35","F","true","false","usa","santa ana","SNA","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"338086","8","40","F","false","true","usa","washington","IAD","2","4","1.00","0.00","2","152.00","7.00","3.family & friends"
"340166","8","51","M","true","true","usa","san francisco","SFO","1","0","0.00","0.00","2","474.00","0.00","3.family & friends"
"343928","8","65","F","true","false","usa","el paso","BIF","2","4","1.50","4087.52","3","348.00","170.50","2.honorable seniors"
"347778","9","49","F","false","false","usa","las vegas","LSV","5","10","1.60","0.00","9","4474.00","5.60","4.valued members"
"348817","8","28","F","false","false","canada","calgary","YYC","4","6","1.00","0.00","9","2622.00","5.33","4.valued members"
"348863","8","67","F","true","false","usa","san antonio","SKF","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"349132","9","49","F","false","false","usa","cincinnati","CVG","3","4","2.00","0.00","14","3516.10","6.50","4.valued members"
"350648","8","18","F","false","false","usa","lincoln","LNK","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"353271","8","26","F","false","true","usa","milwaukee","MKE","1","2","2.00","0.00","0","0.00","5.00","3.family & friends"
"353694","8","40","F","false","true","usa","new york","LGA","2","3","1.50","0.00","9","1634.00","7.50","3.family & friends"
"354050","8","50","F","false","false","usa","detroit","DET","5","9","1.20","552.98","11","2301.60","7.60","4.valued members"
"354260","8","49","F","false","false","usa","providence","PVD","2","4","1.00","0.00","2","520.00","10.50","4.valued members"
"354311","8","45","F","true","false","usa","tucson","DMA","2","4","1.00","0.00","3","291.00","7.00","4.valued members"
"354950","8","53","M","true","false","usa","amarillo","AMA","1","2","1.00","0.00","6","762.00","4.00","4.valued members"
"356046","8","34","F","false","false","canada","ottawa","YOW","2","4","1.50","0.00","4","705.00","8.00","4.valued members"
"357737","8","41","F","true","true","usa","san diego","SAN","4","6","1.00","0.00","12","1236.10","6.33","3.family & friends"
"359072","8","51","F","true","true","canada","montreal","YUL","2","4","1.00","0.00","3","447.00","8.00","3.family & friends"
"359080","8","42","F","true","false","usa","new york","JFK","4","8","1.25","0.00","4","1383.00","76.25","4.valued members"
"359653","8","55","M","false","false","canada","victoria","YYJ","2","4","1.00","0.00","3","649.20","6.50","4.valued members"
"361459","8","41","F","true","true","usa","houston","EFD","1","2","1.00","0.00","1","165.00","6.00","3.family & friends"
"361759","9","52","F","true","false","canada","winnipeg","YWG","4","8","1.00","0.00","2","119.70","7.75","4.valued members"
"363535","8","31","F","false","false","usa","charlotte","CLT","2","3","1.50","436.36","5","355.00","8.50","4.valued members"
"365825","8","45","F","false","false","usa","los angeles","LAX","1","2","1.00","0.00","10","950.00","6.00","4.valued members"
"371201","8","28","M","false","true","usa","new york","JFK","1","2","1.00","0.00","0","0.00","8.00","3.family & friends"
"372970","8","34","F","false","false","usa","charlotte","CLT","2","4","1.00","0.00","2","408.00","6.00","4.valued members"
"373489","9","37","F","true","true","usa","wichita","ICT","1","2","4.00","5588.48","12","1224.00","223.00","3.family & friends"
"374331","8","42","M","false","false","usa","milwaukee","MKE","1","0","0.00","0.00","12","6720.00","0.00","4.valued members"
"374340","9","35","F","true","false","usa","new york","LGA","1","2","2.00","0.00","0","0.00","336.00","4.valued members"
"374341","8","25","F","false","false","usa","detroit","YIP","3","0","0.00","0.00","22","6840.00","0.00","4.valued members"
"375160","8","20","F","false","false","usa","houston","EFD","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"375729","8","53","F","false","false","usa","atlanta","ATL","3","6","1.00","662.53","6","1667.00","6.00","4.valued members"
"375751","8","50","F","true","false","usa","cleveland","CLE","3","6","1.00","0.00","6","999.00","8.00","4.valued members"
"376159","8","42","F","false","false","usa","long beach","LGB","2","2","1.00","0.00","6","708.00","9.00","4.valued members"
"377069","8","68","F","true","false","usa","new york","LGA","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"377411","8","38","F","true","false","canada","montreal","YMX","2","4","1.50","74.46","5","1026.00","5.00","4.valued members"
"378565","8","40","F","true","true","usa","nashville","BNA","5","4","1.00","195.20","44","8600.00","4.50","3.family & friends"
"379543","8","56","F","true","false","usa","san jose","SJC","3","6","1.00","0.00","6","1535.00","6.00","4.valued members"
"380434","8","50","F","true","true","usa","oklahoma city","TIK","3","6","1.00","404.73","7","1426.00","9.33","3.family & friends"
"380436","8","44","F","false","false","usa","new york","LGA","1","2","1.00","0.00","4","594.00","9.00","4.valued members"
"380757","8","46","F","false","true","usa","los angeles","LAX","3","5","1.00","0.00","14","1310.35","7.67","3.family & friends"
"380874","8","54","F","true","false","usa","louisville","LOU","3","6","1.00","0.00","4","405.60","7.33","4.valued members"
"380949","8","46","F","false","false","usa","san antonio","SAT","4","8","1.00","0.00","7","1654.00","7.00","4.valued members"
"381259","8","21","F","false","true","usa","san diego","SAN","1","2","1.00","0.00","1","68.00","5.00","3.family & friends"
"381465","8","33","F","false","false","usa","san antonio","SAT","3","2","1.00","0.00","31","2976.00","6.00","4.valued members"
"382181","8","36","F","true","false","canada","halifax","YHZ","3","6","1.00","0.00","4","672.00","5.33","4.valued members"
"382384","8","57","F","true","false","usa","st. petersburg","PIE","1","2","1.00","0.00","0","0.00","9.00","4.valued members"
"382533","8","18","F","false","false","usa","long beach","LGB","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"385689","8","49","F","false","true","usa","nashville","BNA","4","6","1.33","499.20","16","3545.00","7.33","3.family & friends"
"386255","8","32","F","false","true","usa","mobile","BFM","1","0","0.00","0.00","4","2144.00","0.00","3.family & friends"
"386469","9","17","F","false","false","usa","stockton","SCK","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"386914","8","46","F","true","true","canada","hamilton","YHM","1","2","1.00","0.00","2","577.80","7.00","3.family & friends"
"387282","8","30","F","false","true","usa","amarillo","AMA","1","0","0.00","0.00","4","3564.00","0.00","3.family & friends"
"387783","8","53","M","true","true","usa","oakland","OAK","3","2","1.00","0.00","14","2649.00","8.00","3.family & friends"
"388328","9","50","F","true","true","canada","toronto","YYZ","5","6","1.00","0.00","23","4770.90","6.67","3.family & friends"
"388767","8","44","F","true","true","usa","tallahassee","TLH","1","2","1.00","0.00","10","1890.00","5.00","3.family & friends"
"388947","9","40","M","false","false","usa","new york","LGA","3","6","1.00","611.16","4","684.00","7.33","4.valued members"
"389434","8","42","F","false","false","usa","new york","LGA","4","8","1.00","505.56","6","1202.00","5.75","4.valued members"
"389662","8","38","F","false","false","usa","fresno","FAT","3","4","1.00","262.05","4","815.00","8.50","4.valued members"
"389759","8","33","F","false","true","usa","anchorage","ANC","3","6","1.67","783.53","5","2384.00","5.67","3.family & friends"
"390811","8","40","F","false","false","usa","los angeles","LAX","3","6","1.00","0.00","10","1278.00","7.00","4.valued members"
"392453","8","58","F","false","false","usa","el paso","ELP","1","2","1.00","374.28","11","1166.00","7.00","4.valued members"
"395202","8","26","F","false","false","usa","san jose","SJC","1","0","0.00","0.00","13","2964.00","0.00","4.valued members"
"395981","8","51","F","true","false","canada","vancouver","YVR","3","6","1.33","948.09","3","1399.00","9.33","4.valued members"
"396552","8","45","F","true","false","canada","london","YXU","4","6","1.00","0.00","3","450.00","7.50","4.valued members"
"399137","8","53","F","true","false","usa","dallas","DAL","4","4","1.00","0.00","15","6424.00","6.50","4.valued members"
"399218","8","44","F","true","true","usa","fort worth","FTW","2","4","1.00","0.00","2","246.00","6.50","3.family & friends"
"399799","8","55","F","true","false","canada","toronto","YTZ","4","7","1.00","0.00","8","609.00","6.25","4.valued members"
"400275","8","56","F","true","true","usa","phoenix","LUF","2","4","1.00","871.94","4","1052.00","9.00","3.family & friends"
"400582","8","32","F","true","false","usa","chicago","ORD","4","6","1.00","186.59","9","2549.00","6.67","4.valued members"
"400899","8","45","F","true","false","canada","quebec","YQB","3","6","1.33","0.00","10","2230.00","5.33","4.valued members"
"401245","8","28","F","false","false","usa","omaha","OFF","3","6","1.00","329.69","6","722.00","7.00","4.valued members"
"402332","8","32","F","false","false","usa","sacramento","MCC","2","4","1.50","529.75","1","103.55","13.50","4.valued members"
"402978","8","51","F","true","false","usa","milwaukee","MKE","4","8","1.00","172.97","12","1831.00","5.25","4.valued members"
"403881","8","44","F","false","false","usa","san diego","NZY","4","7","1.50","0.00","10","1792.00","7.50","4.valued members"
"404879","8","39","F","true","false","usa","newark","EWR","4","7","1.25","0.00","10","5029.00","7.00","4.valued members"
"405305","9","45","F","true","true","usa","san francisco","SFO","3","5","1.33","0.00","3","1282.00","10.33","3.family & friends"
"406210","8","21","F","false","true","usa","anchorage","ANC","2","3","1.00","0.00","13","1326.00","157.00","3.family & friends"
"407118","8","52","F","true","false","usa","new york","JFK","2","3","1.00","0.00","8","1896.00","7.00","4.valued members"
"407250","8","36","F","false","false","usa","laredo","LRD","4","8","1.00","0.00","9","1025.00","5.50","4.valued members"
"407275","8","42","F","false","false","usa","philadelphia","PNE","4","8","1.00","0.00","14","2414.00","5.50","4.valued members"
"407434","8","52","F","true","true","canada","halifax","YAW","1","0","0.00","0.00","9","3186.00","0.00","3.family & friends"
"407642","8","29","F","false","false","canada","hamilton","YHM","2","4","1.00","0.00","2","750.00","8.00","4.valued members"
"408551","9","43","F","true","true","usa","chicago","UGN","2","4","1.00","0.00","4","944.00","4.50","3.family & friends"
"409073","8","42","F","true","false","usa","sacramento","MCC","3","6","1.00","0.00","5","803.00","6.33","4.valued members"
"411179","8","51","F","false","false","usa","san jose","SJC","2","2","1.00","456.62","15","4483.00","11.00","4.valued members"
"411701","8","40","F","false","false","canada","calgary","YYC","2","2","1.00","0.00","2","316.00","16.00","4.valued members"
"413128","10","29","F","false","false","canada","hamilton","YHM","5","8","1.50","1358.16","28","12053.20","6.25","4.valued members"
"413340","8","47","F","true","true","usa","nashville","BNA","3","6","1.00","0.00","8","1096.00","8.33","3.family & friends"
"413418","8","54","F","false","false","usa","knoxville","TYS","3","4","1.50","0.00","6","210.00","9.50","4.valued members"
"413658","8","51","F","true","true","usa","philadelphia","PNE","2","2","1.00","0.00","6","1593.00","8.00","3.family & friends"
"414128","9","28","F","false","false","usa","seattle","BFI","4","5","1.67","0.00","11","4609.40","9.67","4.valued members"
"415282","8","42","F","true","true","usa","portland","PWM","2","4","2.00","0.00","7","2892.00","7.50","3.family & friends"
"415381","8","46","F","true","false","usa","chicago","UGN","3","5","1.00","0.00","5","704.00","5.67","4.valued members"
"415581","8","42","F","true","false","usa","new york","JFK","3","6","1.00","0.00","17","2036.00","8.67","4.valued members"
"416319","8","55","F","true","false","usa","new york","LGA","2","4","1.00","0.00","2","219.00","7.50","4.valued members"
"416580","8","43","F","false","false","usa","fort worth","FTW","4","8","1.25","0.00","3","762.00","5.00","4.valued members"
"417679","8","37","F","false","false","usa","new york","LGA","5","10","1.20","663.33","11","2098.10","7.80","1.golden guests"
"418329","8","49","M","false","true","usa","detroit","DET","3","6","1.00","265.80","27","2884.70","6.67","3.family & friends"
"418488","8","38","F","true","false","canada","toronto","YYZ","4","8","1.00","0.00","13","2199.00","4.50","4.valued members"
"418692","10","39","F","false","false","usa","fort worth","FTW","2","4","2.00","296.91","2","318.00","5.50","4.valued members"
"420648","8","53","F","true","true","usa","portland","PDX","3","4","1.00","1334.24","11","2676.00","6.50","3.family & friends"
"420669","8","51","F","true","true","canada","calgary","YYC","2","2","1.00","0.00","12","1566.00","9.00","3.family & friends"
"421247","8","42","F","true","true","usa","memphis","MEM","4","8","1.00","0.00","8","1586.90","6.75","3.family & friends"
"421515","8","31","F","false","false","canada","winnipeg","YAV","2","4","1.00","0.00","2","351.05","5.00","4.valued members"
"421666","8","30","F","false","true","usa","washington","IAD","1","2","1.00","0.00","1","79.00","10.00","3.family & friends"
"421700","8","41","F","false","true","usa","richmond","RIC","3","6","1.33","549.67","15","2695.80","7.33","3.family & friends"
"421870","8","30","M","true","true","usa","little rock","LIT","3","6","3.33","629.80","5","1435.00","79.67","3.family & friends"
"422066","8","55","F","true","true","usa","cincinnati","CVG","4","8","1.25","151.34","20","2910.00","8.00","3.family & friends"
"422668","8","18","F","false","false","usa","houston","HOU","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"423042","8","43","F","false","true","canada","ottawa","YOW","5","6","1.00","0.00","10","1696.80","5.00","3.family & friends"
"423413","8","18","F","false","false","usa","new york","LGA","1","0","0.00","0.00","20","10760.00","0.00","4.valued members"
"424553","8","49","F","true","false","usa","oklahoma city","TIK","3","2","1.00","0.00","16","1798.00","11.00","4.valued members"
"425632","8","45","F","true","false","usa","tampa","MCF","3","4","1.00","0.00","10","2280.00","5.50","4.valued members"
"425653","8","20","M","false","true","usa","portland","PDX","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"425953","8","38","F","true","false","usa","nashville","BNA","4","8","1.75","278.15","8","1162.85","8.00","4.valued members"
"425966","8","56","F","true","false","usa","las vegas","LAS","2","4","1.00","0.00","3","372.00","8.00","4.valued members"
"426478","8","25","F","false","false","canada","hamilton","YHM","1","0","0.00","0.00","9","963.90","0.00","4.valued members"
"427426","8","36","F","false","false","usa","san diego","SAN","3","6","1.00","0.00","2","134.00","12.67","4.valued members"
"427506","8","55","F","true","true","usa","norfolk","ORF","2","4","1.00","67.43","2","458.20","7.50","3.family & friends"
"428056","8","37","M","false","false","canada","vancouver","YVR","4","8","1.00","0.00","9","1607.00","7.00","4.valued members"
"428552","8","37","F","true","false","usa","new york","LGA","2","4","1.00","277.36","3","610.00","6.50","4.valued members"
"428858","8","21","F","false","false","usa","san diego","NZY","2","2","1.00","0.00","12","4072.00","12.00","4.valued members"
"429345","8","66","M","true","true","usa","tallahassee","TLH","1","0","0.00","0.00","6","714.00","0.00","2.honorable seniors"
"429375","8","34","F","false","false","usa","new york","LGA","2","4","1.00","0.00","3","753.00","7.00","4.valued members"
"430722","8","28","M","false","false","usa","mobile","BFM","2","4","1.00","154.34","5","921.40","6.00","4.valued members"
"431144","8","51","F","true","false","usa","cincinnati","CVG","2","2","1.00","0.00","9","1488.00","8.00","4.valued members"
"431337","8","38","F","false","false","usa","miami","MIA","3","6","1.00","0.00","6","1459.00","8.00","4.valued members"
"431602","8","37","F","false","false","usa","tacoma","TCM","2","4","1.50","623.72","3","588.00","6.00","4.valued members"
"431746","8","40","F","false","false","usa","des moines","DSM","1","2","2.00","0.00","1","207.10","6.00","4.valued members"
"431899","8","44","F","true","false","usa","seattle","SEA","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"431912","8","35","F","false","true","usa","detroit","DET","1","2","2.00","0.00","0","0.00","5.00","3.family & friends"
"432333","8","50","F","true","true","usa","milwaukee","MKE","2","2","1.00","0.00","9","1460.00","13.00","3.family & friends"
"432637","8","37","F","false","true","usa","san antonio","SAT","3","6","1.00","0.00","6","1002.00","6.00","3.family & friends"
"432941","8","40","F","false","false","usa","anchorage","MRI","4","6","1.67","0.00","19","3322.00","6.33","4.valued members"
"433080","8","44","F","true","false","usa","colorado springs","COS","4","8","1.25","0.00","12","1612.60","7.25","4.valued members"
"433339","8","26","F","false","true","usa","detroit","DET","2","2","1.00","0.00","14","2230.00","8.00","3.family & friends"
"433905","8","26","F","false","false","usa","new york","LGA","1","0","0.00","0.00","14","3920.00","0.00","4.valued members"
"434238","8","50","F","true","true","usa","indianapolis","IND","2","4","1.00","0.00","1","44.00","8.50","3.family & friends"
"434623","8","34","F","false","false","canada","montreal","YHU","3","6","1.00","478.47","5","930.00","6.33","4.valued members"
"435231","9","30","F","false","false","canada","toronto","YZD","2","2","1.00","0.00","8","916.00","5.00","4.valued members"
"435596","8","53","F","false","false","usa","houston","EFD","2","4","1.00","0.00","4","892.00","7.00","4.valued members"
"435669","8","44","F","false","true","usa","tampa","MCF","2","4","1.50","0.00","1","244.00","6.00","3.family & friends"
"435837","8","51","F","false","false","usa","new orleans","MSY","1","0","0.00","0.00","12","1848.00","0.00","4.valued members"
"435882","9","51","F","true","false","usa","washington","DCA","2","4","1.00","0.00","4","1312.00","9.50","4.valued members"
"436320","8","49","F","true","true","usa","milwaukee","MKE","2","4","1.00","183.54","4","548.00","7.50","3.family & friends"
"436894","8","42","F","true","false","usa","louisville","LOU","2","3","1.00","0.00","8","931.00","8.00","4.valued members"
"437069","8","43","F","false","false","usa","tucson","DMA","5","10","1.20","368.01","17","2403.90","7.20","1.golden guests"
"437162","8","30","F","false","false","usa","madison","MSN","1","2","1.00","0.00","1","253.65","6.00","4.valued members"
"437251","8","43","F","false","false","canada","london","YXU","3","6","1.00","0.00","4","281.00","7.33","4.valued members"
"437539","8","46","F","false","false","usa","nashville","BNA","5","10","1.00","0.00","8","1150.00","7.20","4.valued members"
"437549","8","40","F","false","false","usa","new orleans","NBG","3","6","1.00","0.00","8","898.00","8.33","4.valued members"
"438189","9","36","F","true","false","usa","fort worth","FTW","6","12","1.17","0.00","10","2077.30","7.67","1.golden guests"
"438406","8","43","F","false","false","usa","los angeles","LAX","4","8","1.25","565.05","4","688.00","6.50","4.valued members"
"438551","8","36","F","true","true","usa","charlotte","CLT","2","0","0.00","0.00","4","451.50","0.00","3.family & friends"
"438596","8","24","F","false","false","usa","oklahoma city","OKC","2","2","1.00","97.63","9","1372.00","8.00","4.valued members"
"438839","8","50","F","false","true","usa","new york","JFK","3","5","1.00","501.80","20","2932.00","6.00","3.family & friends"
"438937","8","37","F","false","false","usa","sacramento","SMF","2","3","1.00","0.00","4","928.00","7.00","4.valued members"
"438985","8","30","F","false","false","usa","new york","JFK","2","4","1.00","526.33","4","584.10","5.50","4.valued members"
"438995","8","24","F","false","false","usa","tallahassee","TLH","0","0","0.00","0.00","0","0.00","0.00","5.nobel newcomers"
"439052","9","52","F","true","false","usa","richmond","RIC","4","8","1.00","226.82","17","2468.00","5.75","4.valued members"
"439120","8","38","M","true","false","usa","tulsa","TUL","2","4","1.00","0.00","1","83.70","8.50","4.valued members"
"439363","8","52","F","false","false","usa","fort worth","FTW","4","6","1.00","0.00","17","2087.00","7.67","4.valued members"
"440212","8","39","F","true","true","usa","winston-salem","INT","1","2","1.00","520.81","2","116.00","5.00","3.family & friends"
"440655","8","31","F","false","true","canada","toronto","YYZ","3","6","1.00","0.00","5","1142.60","5.67","3.family & friends"
"441200","8","36","F","false","true","canada","ottawa","YOW","3","4","1.00","0.00","7","588.00","6.00","3.family & friends"
"441205","8","47","F","true","true","usa","san antonio","RND","2","4","1.00","0.00","0","0.00","8.50","3.family & friends"
"441448","8","29","F","false","true","usa","san antonio","SKF","1","2","1.00","0.00","2","1200.00","7.00","3.family & friends"
"441457","8","59","F","true","false","usa","washington","DCA","3","4","1.00","56.18","11","3241.00","5.50","4.valued members"
"441982","8","47","F","false","false","usa","new york","JFK","5","9","1.40","385.81","8","2418.00","5.60","4.valued members"
"442484","8","43","F","true","false","usa","houston","EFD","3","6","1.00","205.25","0","0.00","7.67","4.valued members"
"442718","8","49","F","true","true","usa","new york","JFK","4","8","1.25","580.27","10","1264.80","7.50","3.family & friends"
"442812","8","55","F","true","true","usa","boston","BOS","1","0","0.00","0.00","10","850.00","0.00","3.family & friends"
"442819","8","71","F","true","false","canada","ottawa","YOW","1","2","1.00","0.00","1","85.00","6.00","2.honorable seniors"
"442833","8","39","F","true","false","canada","calgary","YYC","4","8","1.25","0.00","4","1387.00","6.25","4.valued members"
"443305","8","21","F","false","false","usa","chicago","ORD","1","2","1.00","0.00","3","435.00","8.00","4.valued members"
"443453","8","37","F","false","false","usa","seattle","BFI","4","8","1.00","584.15","3","410.30","6.25","4.valued members"
"443598","8","43","F","false","false","usa","honolulu","HNL","2","4","1.00","986.63","9","1498.65","11.50","4.valued members"
"443652","8","30","F","false","false","usa","seattle","SEA","4","7","1.25","0.00","11","1551.00","6.50","4.valued members"
"444387","8","46","F","true","false","usa","cincinnati","LUK","3","6","1.33","0.00","0","0.00","126.67","4.valued members"
"444885","8","33","F","true","false","usa","amarillo","AMA","1","2","1.00","0.00","3","333.00","5.00","4.valued members"
"445351","8","53","F","true","true","usa","des moines","DSM","4","8","1.00","0.00","11","1138.80","4.75","3.family & friends"
"445515","8","40","F","false","false","canada","toronto","YZD","2","4","1.00","0.00","4","684.00","9.00","4.valued members"
"446124","8","45","F","false","false","usa","new york","LGA","5","10","1.00","0.00","13","1428.40","6.40","1.golden guests"
